1,papuas,Start,16:23:00
1,papuas,Success,16:40:00
2,gerasim,Start,14:15:00
2,gerasim,Failure,14:25:00
3,mumu,Start,15:00:00
3,mumu,Success,15:05:00
4,conor,Start,15:00:00
4,conor,Success,15:40:00
5,bellatri,Start,19:40:00
5,bellatri,Success,19:47:00
6,conor,Start,17:45:00
6,conor,Success,17:55:07
7,bellatri,Start,19:40:00
7,bellatri,Success,20:00:00
8,conor,Start,15:00:00
8,conor,Success,15:40:00
9,mumu,Start,15:00:00
9,mumu,Success,15:05:00
10,papuas,Start,16:23:00
10,papuas,Success,16:40:00
11,gerasim,Start,14:15:00
11,gerasim,Success,14:25:00
12,conor,Start,12:00:00
12,conor,Success,12:40:00
13,mumu,Start,15:00:00
13,mumu,Success,15:05:00
14,conor,Start,15:00:00
14,conor,Success,15:40:00
15,bellatri,Start,19:40:00
15,bellatri,Failure,19:47:00
16,mullsher,Start,17:40:00
16,mullsher,Success,17:57:00
